Variable,Coeficiente,Valor Absoluto
BMI,10.951245642073077,10.951245642073077
Systolic BP,4.792358678245269,4.792358678245269
Weight (kg),-4.128664930983307,4.128664930983307
Total Cholesterol (mg/dL),3.9345210829612545,3.9345210829612545
Age,-3.925299892941074,3.925299892941074
Blood Pressure Category_Normal,-2.209258428972946,2.209258428972946
Waist-to-Height Ratio,-1.671207005318672,1.671207005318672
Estimated LDL (mg/dL),-1.405424018972672,1.405424018972672
Diabetes Status_N,-1.2841479666046534,1.2841479666046534
Diabetes Status_Y,1.2841479666046427,1.2841479666046427
HDL (mg/dL),-1.1581171483862989,1.1581171483862989
Blood Pressure Category_Elevated,1.0089347509568722,1.0089347509568722
Diastolic BP,-0.8491415083793614,0.8491415083793614
Physical Activity Level_Low,-0.7296797281774241,0.7296797281774241
Physical Activity Level_Moderate,0.6773994834295987,0.6773994834295987
Family History of CVD_Y,-0.6696969067421549,0.6696969067421549
Family History of CVD_N,0.66969690674215,0.66969690674215
Fasting Blood Sugar (mg/dL),0.6470393303678172,0.6470393303678172
Blood Pressure Category_Hypertension Stage 1,0.6065372937560196,0.6065372937560196
Blood Pressure Category_Hypertension Stage 2,0.5937863842600568,0.5937863842600568
Abdominal Circumference (cm),0.44512466407092066,0.44512466407092066
Smoking Status_Y,0.24149253967945944,0.24149253967945944
Smoking Status_N,-0.24149253967945883,0.24149253967945883
Sex_F,0.1487086602238994,0.1487086602238994
Sex_M,-0.14870866022389473,0.14870866022389473
Physical Activity Level_High,0.05228024474782644,0.05228024474782644
