feature;importance;objetivo;modelo
Nivel_experiencia_Avanzado;15.389536790413281;Plan_entrenamiento;RegresionLogistica
Nivel_Actividad_Alto;15.317096666219339;Plan_entrenamiento;RegresionLogistica
Objetivo_Ganancia muscular;8.072664055035663;Plan_entrenamiento;RegresionLogistica
Tiempo_disponible;2.8811665622281355;Plan_entrenamiento;RegresionLogistica
BMI;1.4395624572666659;Plan_entrenamiento;RegresionLogistica
Peso;1.31610214276779;Plan_entrenamiento;RegresionLogistica
Altura;0.650864620221379;Plan_entrenamiento;RegresionLogistica
Condicion_salud_Asma;0.23240457943910228;Plan_entrenamiento;RegresionLogistica
Condicion_salud_Hipertension;0.22295804039123915;Plan_entrenamiento;RegresionLogistica
Nivel_Actividad_Bajo;0.21055073879725303;Plan_entrenamiento;RegresionLogistica
Cigarrillos_dia;0.19265149753400018;Plan_entrenamiento;RegresionLogistica
Fumador;0.17511016090370896;Plan_entrenamiento;RegresionLogistica
Gnereo_Femenino;0.13219701436946119;Plan_entrenamiento;RegresionLogistica
Condicion_salud_Diabetes;0.11428270831945422;Plan_entrenamiento;RegresionLogistica
Objetivo_Resistencia;0.09619243559513829;Plan_entrenamiento;RegresionLogistica
Objetivo_Ganancia muscular;0.250754007522836;Plan_entrenamiento;ArbolDecision
Nivel_experiencia_Avanzado;0.22320162567894886;Plan_entrenamiento;ArbolDecision
Nivel_Actividad_Alto;0.19161358458378144;Plan_entrenamiento;ArbolDecision
Tiempo_disponible;0.18186295063001648;Plan_entrenamiento;ArbolDecision
BMI;0.15256783158441725;Plan_entrenamiento;ArbolDecision
Edad;0.0;Plan_entrenamiento;ArbolDecision
Nivel_experiencia_Principiante;0.0;Plan_entrenamiento;ArbolDecision
Condicion_salud_Hipertension;0.0;Plan_entrenamiento;ArbolDecision
Condicion_salud_Lesion;0.0;Plan_entrenamiento;ArbolDecision
Condicion_salud_Ninguno;0.0;Plan_entrenamiento;ArbolDecision
Condicion_salud_PCOS;0.0;Plan_entrenamiento;ArbolDecision
Nivel_Actividad_Bajo;0.0;Plan_entrenamiento;ArbolDecision
Nivel_Actividad_Moderado;0.0;Plan_entrenamiento;ArbolDecision
Nivel_experiencia_Intermedio;0.0;Plan_entrenamiento;ArbolDecision
Dieta_preferida_Animal;0.0;Plan_entrenamiento;ArbolDecision
Objetivo_General;6.785011960568202;Plan_nutrición;RegresionLogistica
Objetivo_Resistencia;6.638391592306705;Plan_nutrición;RegresionLogistica
Objetivo_Ganancia muscular;3.0775125079257775;Plan_nutrición;RegresionLogistica
Objetivo_Perdida grasa;3.025562326535952;Plan_nutrición;RegresionLogistica
Score_micronutrientes;2.008546817631493;Plan_nutrición;RegresionLogistica
Peso;1.9808625522885717;Plan_nutrición;RegresionLogistica
Alcohol;1.9758862836569797;Plan_nutrición;RegresionLogistica
Ingesta_proteinas;1.1750802224919503;Plan_nutrición;RegresionLogistica
Altura;0.9348752821191302;Plan_nutrición;RegresionLogistica
BMI;0.5793513138404786;Plan_nutrición;RegresionLogistica
Condicion_salud_Asma;0.3972575625733933;Plan_nutrición;RegresionLogistica
Condicion_salud_Lesion;0.1566114286301138;Plan_nutrición;RegresionLogistica
Alcohol_semana;0.14015837336063353;Plan_nutrición;RegresionLogistica
Nivel_Actividad_Moderado;0.09375989972256366;Plan_nutrición;RegresionLogistica
Dieta_preferida_Pescetariano;0.09182106274551408;Plan_nutrición;RegresionLogistica
Ingesta_proteinas;0.20589162198537633;Plan_nutrición;ArbolDecision
Objetivo_Resistencia;0.20118379860028693;Plan_nutrición;ArbolDecision
BMI;0.19482369649344758;Plan_nutrición;ArbolDecision
Score_micronutrientes;0.1350551183757503;Plan_nutrición;ArbolDecision
Alcohol_semana;0.12084471427989937;Plan_nutrición;ArbolDecision
Objetivo_General;0.10871746315924707;Plan_nutrición;ArbolDecision
Alcohol;0.03325769963795964;Plan_nutrición;ArbolDecision
Condicion_salud_Lesion;0.00022588746803258225;Plan_nutrición;ArbolDecision
Gnereo_Otro;1.3706028393215898e-16;Plan_nutrición;ArbolDecision
Nivel_Actividad_Alto;4.825302162253418e-17;Plan_nutrición;ArbolDecision
Dieta_preferida_Vegetariano;1.5436880400024495e-17;Plan_nutrición;ArbolDecision
Gnereo_Femenino;1.3162769959424227e-17;Plan_nutrición;ArbolDecision
Tiene_alergia;7.832469047094406e-18;Plan_nutrición;ArbolDecision
Nivel_experiencia_Avanzado;0.0;Plan_nutrición;ArbolDecision
Nivel_Actividad_Moderado;0.0;Plan_nutrición;ArbolDecision
