Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,cluster
Male,Loyal Customer,29,Business travel,Business,814,3,3,3,3,4,4,4,4,4,2,5,4,4,4,9,6.0,1
Male,Loyal Customer,54,Business travel,Business,2913,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,9.0,1
Male,Loyal Customer,52,Business travel,Eco,277,4,5,5,5,4,4,4,4,4,4,4,3,4,4,68,42.0,1
Female,Loyal Customer,17,Personal Travel,Eco,1744,3,0,3,1,4,3,1,4,4,2,5,4,5,4,7,39.0,1
Female,Loyal Customer,30,Personal Travel,Eco,1440,3,4,3,2,3,3,3,3,5,5,4,5,4,3,0,0.0,1
Male,Loyal Customer,45,Business travel,Business,1684,0,5,0,4,3,5,5,5,5,5,5,4,5,5,0,8.0,1
Female,Loyal Customer,33,Business travel,Eco,153,5,5,5,5,5,4,5,5,2,2,4,5,5,5,3,0.0,1
Female,Loyal Customer,51,Business travel,Business,3424,3,4,4,4,5,3,3,3,3,3,3,4,3,4,44,42.0,1
Male,Loyal Customer,55,Personal Travel,Eco,628,3,5,3,2,3,3,3,3,5,2,2,1,1,3,0,0.0,0
Male,Loyal Customer,51,Business travel,Business,954,1,5,1,1,4,5,5,5,5,5,5,3,5,5,0,0.0,1
Female,disloyal Customer,33,Business travel,Business,612,2,2,2,3,2,2,5,2,5,4,5,3,4,2,10,9.0,0
Female,Loyal Customer,67,Business travel,Business,469,3,4,2,2,3,4,4,3,3,3,3,3,3,1,0,0.0,0
Male,Loyal Customer,49,Business travel,Business,2017,3,3,3,3,5,4,4,5,5,5,5,4,5,3,0,0.0,1
Female,Loyal Customer,52,Business travel,Business,771,1,1,4,1,4,1,4,5,5,4,5,5,5,1,0,0.0,1
Female,disloyal Customer,38,Business travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26.0,0
Male,Loyal Customer,37,Business travel,Business,1558,4,1,1,1,1,3,4,4,4,3,4,1,4,3,0,8.0,0
Female,Loyal Customer,42,Business travel,Business,2657,1,1,1,1,4,4,5,5,5,5,4,3,5,3,0,0.0,1
Male,Loyal Customer,50,Business travel,Business,1504,2,2,4,2,3,1,4,5,5,5,5,2,5,4,0,0.0,1
Female,disloyal Customer,21,Business travel,Eco,567,2,3,2,4,3,2,1,3,4,5,3,4,4,3,0,0.0,0
